id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation,distance of wrongset
31,3,66.79700017,503.77,31,3,41.363,581.965,25.43,-78.2,
31,4,57.42199993,522.4529998,31,4,57.422,522.695,0,-0.24,
32,1,42.68299985,294.1300001,32,1,42.683,294.296,0,-0.17,
32,2,73.53699994,359.7070003,32,2,73.537,359.943,0,-0.24,
32,3,49.2409997,296.2900002,32,3,49.243,296.52,0,-0.23,
32,4,89.89299989,330.9539998,32,4,89.895,331.224,0,-0.27,
33,1,105.872,339.9460001,33,1,105.872,340.151,0,-0.2,
33,2,90.65900016,366.2279999,33,2,90.659,366.418,0,-0.19,
33,3,81.21399999,301.2149999,33,3,81.214,301.433,0,-0.22,
33,4,55.94399977,232.7290003,33,4,55.944,233.141,0,-0.41,
34,1,163.276,249.4840004,34,1,163.369,249.712,-0.09,-0.23,
34,2,101.2479999,393.8139999,34,2,101.248,394.039,0,-0.23,
34,3,128.1980002,397.5420001,34,3,128.203,397.717,0,-0.17,
34,4,241.7539999,122.0470002,34,4,241.754,122.31,0,-0.26,
35,1,26.35000038,204.582,35,1,26.35,204.785,0,-0.2,
35,2,42.38800001,188.9660001,35,2,42.388,189.169,0,-0.2,
35,3,58.03600001,252.8789999,35,3,58.036,253.119,0,-0.24,
35,4,14.69700027,426.526,35,4,14.697,426.748,0,-0.22,
36,1,78.96099997,266.8360002,36,1,78.961,267.045,0,-0.21,
36,2,44.58900023,249.8869998,36,2,44.59,250.037,0,-0.15,
36,3,61.49399996,247.2759998,36,3,61.494,247.487,0,-0.21,
36,4,73.57000017,374.3819997,36,4,73.57,374.592,0,-0.21,
37,1,141.994,588.1959999,37,1,141.994,588.366,0,-0.17,
37,2,76.63499975,477.141,37,2,76.635,477.279,0,-0.14,
37,3,60.61899972,850.457,37,3,60.619,850.68,0,-0.22,
37,4,64.63799977,400.3450003,37,4,64.638,400.53,0,-0.18,
38,1,48.43600011,446.0479999,38,1,48.436,446.153,0,-0.11,
38,2,71.93899989,462.1300001,38,2,71.939,462.237,0,-0.11,
38,3,89.08599997,739.293,38,3,98.414,730.248,-9.33,9.04,0
38,4,73.53600001,641.3710001,38,4,73.536,641.529,0,-0.16,
39,1,31.48800015,258.4729998,39,1,31.512,258.576,-0.02,-0.1,
39,2,21.95600009,336.0040002,39,2,21.995,336.204,-0.04,-0.2,
39,3,60.80300021,348.0379999,39,3,60.805,348.267,0,-0.23,
39,4,35.73900008,481.7870002,39,4,35.739,482.421,0,-0.63,
40,1,62.17799997,284.8590002,40,1,62.391,284.997,-0.21,-0.14,
40,2,15.99599957,358.6639998,40,2,15.996,358.842,0,-0.18,
40,3,39.66100025,277.3280003,40,3,39.661,277.612,0,-0.28,
40,4,44.04599977,257.5509999,40,4,44.047,257.822,0,-0.27,
41,1,86.88900018,346.5450003,41,1,86.889,346.762,0,-0.22,
41,2,86.70400023,276.8110001,41,2,86.704,276.957,0,-0.15,
41,3,82.6500001,341.8239999,41,3,84.027,342.074,-1.38,-0.25,
41,4,89.65699959,422.6489999,41,4,89.657,422.916,0,-0.27,
42,1,36.18099999,202.6430001,42,1,36.181,202.914,0,-0.27,
42,2,29.05799985,245.0849998,42,2,29.059,245.432,0,-0.35,
42,3,32.3840003,212.9530001,42,3,32.384,213.165,0,-0.21,
42,4,20.69899988,367.5549998,42,4,20.701,367.871,0,-0.32,
43,1,78.01500034,352.0299997,43,1,78.015,352.301,0,-0.27,
43,2,86.60899997,243.1759999,43,2,86.609,243.465,0,-0.29,
43,3,90.84200048,359.0679998,43,3,90.842,359.19,0,-0.12,
43,4,67.59400034,251.2909999,43,4,67.594,251.596,0,-0.31,
44,1,81.76200008,227.447,44,1,97.081,212.417,-15.32,15.03,0
44,2,59.96899986,298.849,44,2,59.97,299.005,0,-0.16,
44,3,69.83100009,329.3270001,44,3,69.834,329.55,0,-0.22,
44,4,64.47300005,308.595,44,4,64.473,308.838,0,-0.24,
45,1,29.69299984,283.868,45,1,29.693,284.081,0,-0.21,
45,2,246.1899998,93.64600015,45,2,246.218,93.774,-0.03,-0.13,
45,3,248.941,165.2160003,45,3,265.084,149.374,-16.14,15.84,243.73
45,4,59.69300032,288.8739996,45,4,59.695,289.083,0,-0.21,
46,1,24.13799977,221.1340003,46,1,24.138,221.431,0,-0.3,
46,2,28.20000005,324.819,46,2,28.266,325.175,-0.07,-0.36,
46,3,23.86400008,269.4359996,46,3,23.864,269.793,0,-0.36,
46,4,22.37899995,566.921,46,4,22.379,567.36,0,-0.44,
47,1,18.86499977,268.181,47,1,18.865,268.368,0,-0.19,
47,2,15.01199985,249.7860003,47,2,15.013,249.964,0,-0.18,
47,3,72.22099972,275.9640005,47,3,72.223,276.272,0,-0.31,
47,4,24.00399971,209.6949999,47,4,24.004,209.98,0,-0.29,
48,1,49.68799996,287.1400003,48,1,49.688,287.344,0,-0.2,
48,2,60.50900006,454.6169999,48,2,60.509,454.896,0,-0.28,
48,3,47.023,272.6809998,48,3,47.026,272.954,0,-0.27,
48,4,35.07299995,289.6830003,48,4,35.073,289.951,0,-0.27,
49,1,77.75499988,297.543,49,1,77.755,297.784,0,-0.24,
49,2,28.81099987,342.4390001,49,2,28.811,342.701,0,-0.26,
49,3,46.80300045,357.4220002,49,3,46.803,357.671,0,-0.25,
49,4,121.5389998,181.7190003,49,4,121.542,181.978,0,-0.26,
50,1,24.67600012,294.7870002,50,1,24.756,294.993,-0.08,-0.21,
50,2,63.14100003,376.9680004,50,2,63.173,377.151,-0.03,-0.18,
50,3,51.56900001,286.529,50,3,51.571,286.736,0,-0.21,
50,4,62.64099979,201.721,50,4,62.713,201.98,-0.07,-0.26,
51,1,39.96200013,291.6439998,51,1,39.962,291.78,0,-0.14,
51,2,107.28,505.224,51,2,107.28,505.36,0,-0.14,
51,3,66.38700008,690.6929998,51,3,66.387,690.918,0,-0.23,
51,4,54.26600003,302.8339999,51,4,54.266,303.116,0,-0.28,
52,1,79.15300012,334.5699999,52,1,79.153,334.779,0,-0.21,
52,2,62.52399993,316.2970002,52,2,62.524,316.454,0,-0.16,
52,3,49.1420002,233.28,52,3,49.142,233.496,0,-0.22,
52,4,71.21700025,428.0670002,52,4,71.219,428.416,0,-0.35,
53,1,37.48599982,372.2500002,53,1,37.486,372.45,0,-0.2,
53,2,43.3829999,325.325,53,2,43.383,325.509,0,-0.18,
53,3,31.12899995,382.3469999,53,3,31.129,382.572,0,-0.23,
53,4,25.47300005,369.8509996,53,4,25.473,370.034,0,-0.18,
54,1,60.83399987,237.267,54,1,60.834,237.381,0,-0.11,
54,2,66.48300004,327.2590001,54,2,66.483,327.462,0,-0.2,
54,3,38.99799991,380.983,54,3,38.998,381.211,0,-0.23,
54,4,37.27600002,281.704,54,4,37.35,281.929,-0.07,-0.23,
55,1,40.10100007,278.756,55,1,40.101,278.999,0,-0.24,
55,2,42.78499961,350.2120004,55,2,42.785,350.416,0,-0.2,
55,3,98.171,327.8249998,55,3,98.173,328.067,0,-0.24,
55,4,68.06999993,573.2590001,55,4,68.072,573.5,0,-0.24,
56,1,49.88799977,296.7730002,56,1,49.888,296.995,0,-0.22,
56,2,25.44299984,233.7009995,56,2,25.443,233.842,0,-0.14,
56,3,34.70700002,238.4549999,56,3,34.707,238.636,0,-0.18,
56,4,48.2579999,234.9000001,56,4,48.258,235.165,0,-0.26,
57,1,73.30599999,301.6499996,57,1,73.306,301.728,0,-0.08,
57,2,42.45399976,277.8760002,57,2,42.454,277.98,0,-0.1,
57,3,21.82599998,346.5410001,57,3,21.826,346.772,0,-0.23,
57,4,26.84699988,636.0840001,57,4,26.847,636.138,0,-0.05,
58,1,16.24599957,263.2309997,58,1,16.317,263.384,-0.07,-0.15,
58,2,19.18300009,226.6430001,58,2,19.183,226.76,0,-0.12,
58,3,30.74599981,255.0180004,58,3,30.746,255.2,0,-0.18,
58,4,30.977,360.8539999,58,4,31.213,361.109,-0.24,-0.26,
