participant,scenario,taskId,planning_time,navigation_time
8,1,0.0,0.0,0.0
8,1,1.0,60.410000000000004,65.671
8,1,2.0,28.774,143.625
8,1,3.0,17.756,109.986
8,1,4.0,14.255,142.439
8,2,0.0,0.0,0.0
8,2,1.0,28.15,194.70600000000002
8,2,2.0,11.775,40.531
8,2,3.0,2.2399999999999998,83.318
8,2,4.0,1.904,41.338
8,3,0.0,0.0,0.0
8,3,1.0,18.242,90.827
8,3,2.0,16.031,78.52900000000001
8,3,3.0,12.173,35.024
8,3,4.0,11.585,44.08
8,4,0.0,0.0,0.0
8,4,1.0,13.089,42.169000000000004
8,4,2.0,36.202,217.28900000000002
8,4,3.0,13.731,142.594
8,4,4.0,9.879,160.55100000000002
9,1,0.0,0.0,0.0
9,1,1.0,30.167,85.85600000000001
9,1,2.0,56.076,92.788
9,1,3.0,37.601,33.025
9,1,4.0,29.063,3.886
9,2,0.0,0.0,0.0
9,2,1.0,21.829,116.441
9,2,2.0,24.094,58.524
9,2,3.0,11.71,32.203
9,2,4.0,16.733,17.52
9,3,0.0,0.0,0.0
9,3,1.0,17.075,72.37700000000001
9,3,2.0,19.485,95.153
9,3,3.0,23.076,155.493
9,3,4.0,9.048,46.25
9,4,0.0,0.0,0.0
9,4,1.0,10.471,174.124
9,4,2.0,16.532,372.826
9,4,3.0,15.370000000000001,114.66900000000001
9,4,4.0,15.353,79.414
10,1,0.0,0.0,0.0
10,1,1.0,8.751,136.16
10,1,2.0,5.957,61.317
10,1,3.0,3.356,20.357
10,1,4.0,35.77,3.854
10,2,0.0,0.0,0.0
10,2,1.0,9.073,105.37
10,2,2.0,4.406000000000001,64.803
10,2,3.0,4.519,56.389
10,2,4.0,16.928,138.084
10,3,0.0,0.0,0.0
10,3,1.0,8.665000000000001,70.21900000000001
10,3,2.0,42.272,162.966
10,3,3.0,8.729000000000001,53.688
10,3,4.0,5.3580000000000005,248.83
10,4,0.0,0.0,0.0
10,4,1.0,12.529,73.709
10,4,2.0,88.899,133.395
10,4,3.0,4.988,114.196
10,4,4.0,8.408,96.90100000000001
12,1,0.0,0.0,0.0
12,1,1.0,14.514000000000001,42.637
12,1,2.0,16.348,92.44500000000001
12,1,3.0,17.765,93.003
12,1,4.0,15.844000000000001,90.272
12,2,0.0,0.0,0.0
12,2,1.0,13.965,122.31400000000001
