,Unnamed: 0,DateTime,posX,posY,posZ,rotX,rotY,rotZ,taskState,mapInteractions,participant,scenario,start_point,state,phase,routename,taskId,lockscreen,combination
753,753,2023-09-22 15:07:09.558,-747.2823,1.305,-721.9312,0,73.14524,0,setNavigationTarget:Panorama Restaurant,,10,1,n,start,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
754,754,2023-09-22 15:07:09.559,-747.2823,1.305,-721.9312,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
755,755,2023-09-22 15:07:09.589,-747.2693,1.305,-721.9271,0,73.14524,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
756,756,2023-09-22 15:07:09.590,-747.2693,1.305,-721.9271,0,73.14524,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Panorama Restaurant,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
757,757,2023-09-22 15:07:09.620,-747.2562,1.305,-721.9231,0,73.14524,0,,mapLog:positionXYZ+-746.3963+100.0102+-720.7421,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
758,758,2023-09-22 15:07:10.085,-747.0487,1.305,-721.8613,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
759,759,2023-09-22 15:07:10.608,-746.1649,1.305,-721.595,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
760,760,2023-09-22 15:07:11.125,-744.7019,1.305,-721.153,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
761,761,2023-09-22 15:07:11.644,-743.2102,1.305,-720.7023,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
762,762,2023-09-22 15:07:12.157,-741.7507,1.305,-720.2615,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
763,763,2023-09-22 15:07:12.672,-741.0325,1.305,-720.0452,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
764,764,2023-09-22 15:07:13.185,-740.6664,1.305,-719.9355,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
765,765,2023-09-22 15:07:13.355,-740.521,1.305,-719.892,0,73.14524,0,,mapLog:positionXYZ+-740.6664+100.0102+-719.9355,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
766,766,2023-09-22 15:07:13.412,-740.4697,1.305,-719.8766,0,73.14524,0,checkedIn:Panorama Restaurant,,10,1,n,end,navigation,,4.0,0,10_1_4.0
6574,6574,2023-09-25 11:45:42.590,-1166.493,1.30501,-829.1294,0,334.4201,0,setNavigationTarget:Kiosk,,12,2,w,start,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6575,6575,2023-09-25 11:45:42.591,-1166.493,1.30501,-829.1294,0,334.4201,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6576,6576,2023-09-25 11:45:42.612,-1166.494,1.30501,-829.1194,0,334.4201,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Kiosk,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6577,6577,2023-09-25 11:45:42.634,-1166.495,1.30501,-829.1094,0,334.4201,0,,mapLog:positionXYZ+-1168.287+100.0292+-830.132,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6578,6578,2023-09-25 11:45:42.833,-1166.505,1.30501,-829.012,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6579,6579,2023-09-25 11:45:43.340,-1166.531,1.30501,-828.7567,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6580,6580,2023-09-25 11:45:43.362,-1166.532,1.30501,-828.7467,0,334.4201,0,,mapLog:positionXYZ+-1166.505+100.0292+-829.012,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6581,6581,2023-09-25 11:45:43.845,-1166.557,1.30501,-828.5077,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6582,6582,2023-09-25 11:45:44.132,-1166.571,1.30501,-828.3695,0,334.4201,0,,mapLog:zoom+106.4353+rotationXYZ+90+338.2999+0,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6583,6583,2023-09-25 11:45:44.238,-1166.576,1.30501,-828.3258,0,334.4201,0,,mapLog:positionXYZ+-1204.625+100.0292+-831.6317,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6584,6584,2023-09-25 11:45:44.350,-1166.58,1.30501,-828.2813,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6585,6585,2023-09-25 11:45:44.394,-1166.581,1.30501,-828.2688,0,334.4201,0,,mapLog:positionXYZ+-1204.625+100.0292+-831.6317,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6586,6586,2023-09-25 11:45:44.849,-1166.591,1.30501,-828.1715,0,334.4201,0,,mapLog:positionXYZ+-1180.67+100.0292+-814.0278,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6587,6587,2023-09-25 11:45:44.872,-1166.592,1.305011,-828.1681,0,334.4237,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6588,6588,2023-09-25 11:45:44.959,-1166.593,1.305011,-828.151,0,334.5262,0,,mapLog:positionXYZ+-1183.608+100.0292+-816.9985,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6589,6589,2023-09-25 11:45:45.336,-1166.606,1.305015,-828.0259,0,335.4441,0,,mapLog:zoom+100+rotationXYZ+90+337.6931+0,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6590,6590,2023-09-25 11:45:45.360,-1166.608,1.305015,-828.0131,0,335.5594,0,,mapLog:positionXYZ+-1180.726+100.0292+-816.6013,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6591,6591,2023-09-25 11:45:45.384,-1166.609,1.305015,-828.0033,0,335.6545,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6592,6592,2023-09-25 11:45:45.895,-1166.711,1.305015,-827.0179,0,342.5117,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6593,6593,2023-09-25 11:45:46.400,-1166.842,1.305015,-825.7352,0,351.1823,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6594,6594,2023-09-25 11:45:46.919,-1166.937,1.305,-824.3749,0,359.853,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6595,6595,2023-09-25 11:45:47.432,-1166.834,1.305,-822.9487,0,8.692992,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6596,6596,2023-09-25 11:45:47.946,-1166.568,1.305,-821.7638,0,15.24053,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6597,6597,2023-09-25 11:45:48.461,-1166.202,1.305,-820.423,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6598,6598,2023-09-25 11:45:48.964,-1165.812,1.305,-818.9955,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6599,6599,2023-09-25 11:45:49.468,-1165.415,1.305,-817.549,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6600,6600,2023-09-25 11:45:49.991,-1164.995,1.305,-816.0156,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6601,6601,2023-09-25 11:45:50.506,-1164.59,1.305,-814.5402,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6602,6602,2023-09-25 11:45:51.008,-1164.198,1.305,-813.1077,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6603,6603,2023-09-25 11:45:51.518,-1163.831,1.305,-811.7648,0,15.25089,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6604,6604,2023-09-25 11:45:52.031,-1163.47,1.305,-810.4364,0,14.94289,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6605,6605,2023-09-25 11:45:52.533,-1163.126,1.305,-809.129,0,14.61281,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6606,6606,2023-09-25 11:45:53.043,-1162.785,1.305,-807.7925,0,13.7044,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6607,6607,2023-09-25 11:45:53.553,-1162.583,1.305,-806.7576,0,8.332106,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6608,6608,2023-09-25 11:45:54.068,-1162.418,1.305,-805.5515,0,7.48876,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6609,6609,2023-09-25 11:45:54.568,-1162.242,1.305,-804.2081,0,7.48239,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6610,6610,2023-09-25 11:45:55.097,-1162.068,1.304999,-802.886,0,7.454655,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6611,6611,2023-09-25 11:45:55.599,-1161.907,1.305,-801.6285,0,6.96781,0,,mapLog:isScreenLocked+True,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6612,6612,2023-09-25 11:45:55.600,-1161.907,1.305,-801.6285,0,6.96781,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6613,6613,2023-09-25 11:45:56.114,-1161.765,1.305,-800.3661,0,5.89518,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6614,6614,2023-09-25 11:45:56.641,-1161.64,1.305,-799.0431,0,4.841995,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6615,6615,2023-09-25 11:45:57.148,-1161.544,1.305,-797.7883,0,3.901669,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6616,6616,2023-09-25 11:45:57.656,-1161.468,1.304999,-796.5059,0,2.893763,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6617,6617,2023-09-25 11:45:58.164,-1161.414,1.304999,-795.2377,0,1.907998,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6618,6618,2023-09-25 11:45:58.673,-1161.382,1.304999,-793.9677,0,0.9584947,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6619,6619,2023-09-25 11:45:59.183,-1161.37,1.304999,-792.7936,0,0.3307199,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,1,12_2_3.0
6620,6620,2023-09-25 11:45:59.213,-1161.37,1.304999,-792.7745,0,0.3307199,0,,mapLog:isScreenLocked+False,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6621,6621,2023-09-25 11:45:59.692,-1161.37,1.304999,-792.4043,0,0.3307199,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6622,6622,2023-09-25 11:46:00.201,-1161.365,1.304999,-791.7605,0,0.3307199,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6623,6623,2023-09-25 11:46:00.410,-1161.362,1.304999,-791.4851,0,0.3307199,0,,mapLog:positionXYZ+-1180.726+100.0292+-816.6013,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6624,6624,2023-09-25 11:46:00.440,-1161.362,1.304999,-791.4456,0,0.3307199,0,checkedIn:Kiosk,,12,2,w,end,navigation,,3.0,0,12_2_3.0
14540,14540,2023-09-27 14:52:49.131,-539.1115,1.305,-1198.784,0,192.6129,0,setNavigationTarget:Ocean Palace Resort & Spa Hotel,,15,2,s,start,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14541,14541,2023-09-27 14:52:49.132,-539.1115,1.305,-1198.784,0,192.6129,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14542,14542,2023-09-27 14:52:49.147,-539.1166,1.305,-1198.807,0,192.6129,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Ocean Palace Resort & Spa Hotel,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14543,14543,2023-09-27 14:52:49.162,-539.1191,1.305,-1198.818,0,192.6129,0,,mapLog:positionXYZ+-539.2841+100+-1199.556,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14544,14544,2023-09-27 14:52:49.391,-539.178,1.305,-1199.08,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14545,14545,2023-09-27 14:52:49.895,-539.3037,1.305,-1199.641,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14546,14546,2023-09-27 14:52:50.397,-539.4323,1.305,-1200.215,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14547,14547,2023-09-27 14:52:50.911,-539.5668,1.305,-1200.818,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14548,14548,2023-09-27 14:52:51.411,-539.7018,1.305,-1201.422,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14549,14549,2023-09-27 14:52:51.844,-539.8139,1.305,-1201.923,0,192.6129,0,,mapLog:positionXYZ+-539.7018+100+-1201.422,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14550,14550,2023-09-27 14:52:51.919,-539.8352,1.305,-1202.018,0,192.6129,0,,,15,2,s,,navigation,s_to_Ocean Palace Resort & Spa Hotel,2.0,0,15_2_2.0
14551,14551,2023-09-27 14:52:51.934,-539.8378,1.305,-1202.029,0,192.6129,0,checkedIn:Ocean Palace Resort & Spa Hotel,,15,2,s,end,navigation,,2.0,0,15_2_2.0
19694,19694,2023-09-27 16:52:21.325,-122.7747,1.305,-1019.031,0,78.14767,0,setNavigationTarget:Uncle Sammy,,16,1,e,start,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19695,19695,2023-09-27 16:52:21.326,-122.7747,1.305,-1019.031,0,78.14767,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19696,19696,2023-09-27 16:52:21.343,-122.7747,1.305,-1019.031,0,78.14767,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Uncle Sammy,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19697,19697,2023-09-27 16:52:21.359,-122.7747,1.304999,-1019.031,0,78.14767,0,,mapLog:positionXYZ+-119.118+100+-1023.774,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19698,19698,2023-09-27 16:52:21.548,-122.7746,1.305,-1019.034,0,78.14767,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19699,19699,2023-09-27 16:52:21.976,-122.7742,1.304999,-1019.039,0,78.14767,0,,mapLog:zoom+223.1882+rotationXYZ+90+78.14767+0,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19700,19700,2023-09-27 16:52:22.062,-122.7742,1.305,-1019.04,0,78.14767,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19701,19701,2023-09-27 16:52:22.284,-122.774,1.305,-1019.043,0,78.17179,0,,mapLog:zoom+100+rotationXYZ+90+83.61228+0,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19702,19702,2023-09-27 16:52:22.578,-122.7738,1.304999,-1019.046,0,81.68201,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19703,19703,2023-09-27 16:52:23.089,-122.7734,1.304999,-1019.052,0,89.69006,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19704,19704,2023-09-27 16:52:23.598,-122.773,1.305,-1019.059,0,98.35998,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19705,19705,2023-09-27 16:52:24.107,-122.7726,1.304999,-1019.065,0,107.0299,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19706,19706,2023-09-27 16:52:24.612,-122.7722,1.305,-1019.071,0,115.6998,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19707,19707,2023-09-27 16:52:25.120,-122.7395,1.305,-1019.097,0,123.795,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19708,19708,2023-09-27 16:52:25.640,-122.7391,1.304999,-1019.103,0,131.7303,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19709,19709,2023-09-27 16:52:26.172,-122.7387,1.304999,-1019.11,0,140.9102,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19710,19710,2023-09-27 16:52:26.695,-122.7383,1.305,-1019.116,0,149.7501,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19711,19711,2023-09-27 16:52:27.205,-122.7379,1.305,-1019.123,0,158.42,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19712,19712,2023-09-27 16:52:27.713,-122.7375,1.304999,-1019.129,0,167.0899,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19713,19713,2023-09-27 16:52:28.237,-122.6507,1.304999,-1019.706,0,171.4503,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19714,19714,2023-09-27 16:52:28.759,-122.4313,1.304999,-1021.168,0,171.4503,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19715,19715,2023-09-27 16:52:29.274,-122.2085,1.305,-1022.652,0,171.4503,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19716,19716,2023-09-27 16:52:29.776,-121.997,1.300413,-1024.073,0,171.5814,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19717,19717,2023-09-27 16:52:30.287,-121.789,1.155,-1025.498,0,171.8947,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19718,19718,2023-09-27 16:52:30.802,-121.5926,1.155,-1026.949,0,172.7376,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19719,19719,2023-09-27 16:52:31.320,-121.4193,1.155,-1028.389,0,173.4486,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19720,19720,2023-09-27 16:52:31.833,-121.256,1.155,-1029.859,0,173.9144,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19721,19721,2023-09-27 16:52:32.340,-121.1147,1.155,-1031.26,0,174.616,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19722,19722,2023-09-27 16:52:32.726,-121.0186,1.155,-1032.343,0,175.3035,0,,mapLog:isScreenLocked+True,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19723,19723,2023-09-27 16:52:32.845,-120.992,1.155,-1032.677,0,175.5977,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19724,19724,2023-09-27 16:52:33.355,-120.8956,1.155,-1034.115,0,176.7432,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19725,19725,2023-09-27 16:52:33.880,-120.8248,1.155,-1035.595,0,177.8072,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19726,19726,2023-09-27 16:52:34.413,-120.7796,1.155,-1037.133,0,178.8523,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19727,19727,2023-09-27 16:52:34.916,-120.7617,1.155,-1038.59,0,179.7307,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19728,19728,2023-09-27 16:52:35.418,-120.7625,1.304621,-1039.993,0,180.3324,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,1,16_1_4.0
19729,19729,2023-09-27 16:52:35.782,-120.7659,1.304999,-1040.528,0,180.4482,0,,mapLog:isScreenLocked+False,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19730,19730,2023-09-27 16:52:35.934,-120.7658,1.304999,-1040.528,0,180.4482,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19731,19731,2023-09-27 16:52:36.451,-120.7655,1.304999,-1040.529,0,181.0999,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19732,19732,2023-09-27 16:52:36.964,-120.7652,1.304999,-1040.529,0,181.3574,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19733,19733,2023-09-27 16:52:37.481,-120.765,1.304999,-1040.529,0,181.3759,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19734,19734,2023-09-27 16:52:38.000,-120.7647,1.304999,-1040.529,0,181.3759,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19735,19735,2023-09-27 16:52:38.457,-120.7647,1.304999,-1040.529,0,181.3759,0,,mapLog:positionXYZ+-122.7746+100+-1019.034,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19736,19736,2023-09-27 16:52:38.518,-120.7647,1.304999,-1040.529,0,181.3759,0,,,16,1,e,,navigation,e_to_Uncle Sammy,4.0,0,16_1_4.0
19737,19737,2023-09-27 16:52:38.578,-120.7647,1.304999,-1040.529,0,181.3759,0,checkedIn:Uncle Sammy,,16,1,e,end,navigation,,4.0,0,16_1_4.0
33735,33735,2023-09-28 16:50:09.271,-748.4588,1.305,-1143.617,0,282.1186,0,setNavigationTarget:Colonial Church,,19,2,s,start,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33736,33736,2023-09-28 16:50:09.273,-748.4588,1.305,-1143.617,0,282.1186,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33737,33737,2023-09-28 16:50:09.297,-748.4588,1.305,-1143.617,0,282.1186,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Colonial Church,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33738,33738,2023-09-28 16:50:09.322,-748.4588,1.305,-1143.617,0,282.1186,0,,mapLog:positionXYZ+-748.9506+99.99998+-1144.441,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33739,33739,2023-09-28 16:50:09.452,-748.4588,1.305,-1143.617,0,282.1186,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33740,33740,2023-09-28 16:50:09.969,-748.4588,1.305,-1143.617,0,282.1186,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33741,33741,2023-09-28 16:50:10.484,-748.4588,1.305,-1143.617,0,282.1186,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33742,33742,2023-09-28 16:50:11.001,-749.1945,1.304999,-1143.336,0,282.1186,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33743,33743,2023-09-28 16:50:11.519,-749.1945,1.304999,-1142.989,0,285.6652,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33744,33744,2023-09-28 16:50:12.028,-749.194,1.304998,-1142.468,0,294.3357,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33745,33745,2023-09-28 16:50:12.545,-749.2065,1.305092,-1141.718,0,303.0063,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33746,33746,2023-09-28 16:50:13.053,-750.1693,1.304999,-1140.682,0,308.8871,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33747,33747,2023-09-28 16:50:13.564,-751.3615,1.253747,-1139.728,0,308.8871,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33748,33748,2023-09-28 16:50:14.086,-752.5716,1.155,-1138.746,0,309.7638,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33749,33749,2023-09-28 16:50:14.594,-753.7324,1.155,-1137.749,0,311.3174,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33750,33750,2023-09-28 16:50:15.119,-754.917,1.155,-1136.689,0,312.289,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33751,33751,2023-09-28 16:50:15.633,-755.9895,1.155,-1135.599,0,319.727,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33752,33752,2023-09-28 16:50:16.135,-756.8727,1.155,-1134.388,0,328.2276,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33753,33753,2023-09-28 16:50:16.637,-757.579,1.155,-1133.033,0,336.8982,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33754,33754,2023-09-28 16:50:17.147,-758.0654,1.155,-1131.615,0,345.3988,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33755,33755,2023-09-28 16:50:17.649,-758.3418,1.155,-1130.112,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33756,33756,2023-09-28 16:50:18.165,-758.5223,1.155,-1128.593,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33757,33757,2023-09-28 16:50:18.673,-758.7029,1.155,-1127.074,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33758,33758,2023-09-28 16:50:19.188,-758.887,1.155,-1125.525,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33759,33759,2023-09-28 16:50:19.505,-758.9967,1.155,-1124.602,0,353.1998,0,,mapLog:isScreenLocked+True,19,2,s,,navigation,s_to_Colonial Church,4.0,1,19_2_4.0
33760,33760,2023-09-28 16:50:19.716,-759.071,1.155,-1123.976,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,1,19_2_4.0
33761,33761,2023-09-28 16:50:20.199,-759.2445,1.155,-1122.517,0,353.1998,0,,mapLog:isScreenLocked+False,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33762,33762,2023-09-28 16:50:20.229,-759.2551,1.155,-1122.427,0,353.1998,0,,mapLog:positionXYZ+-756.2028+99.99998+-1121.463,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
33763,33763,2023-09-28 16:50:20.230,-759.2551,1.155,-1122.427,0,353.1998,0,,,19,2,s,,navigation,s_to_Colonial Church,4.0,0,19_2_4.0
