trajectory_Id,half,total_active_time,total_inactive_time
121,second,14.067,19.504
125,first,29.393,3.68
125,second,31.41,2.7150000000000003
126,first,15.097000000000001,1.081
126,second,17.016000000000002,0.8900000000000001
127,first,31.868000000000002,7.17
127,second,26.624,16.025
129,first,14.088000000000001,3.607
129,second,5.644,13.791
132,first,19.632,23.207
132,second,0.0,45.679
133,first,69.063,34.204
133,second,25.741,86.293
134,first,9.986,10.219000000000001
134,second,9.957,9.287
135,first,11.749,14.255
135,second,0.0,28.380000000000003
136,first,37.459,5.857
136,second,13.02,34.394
137,first,40.123,14.870000000000001
137,second,21.928,35.066
138,first,31.748,20.031000000000002
138,second,10.002,44.766000000000005
139,first,30.25,16.429000000000002
139,second,9.84,39.416000000000004
140,first,10.347,2.563
140,second,0.0,13.441
141,first,23.953,2.5810000000000004
141,second,6.519,23.77
143,first,10.185,9.864
143,second,0.0,21.2
144,first,9.828000000000001,22.942
144,second,0.0,33.89
145,first,21.39,11.387
145,second,0.0,36.741
147,first,9.726,0.6900000000000001
147,second,0.0,11.123000000000001
151,first,9.992,2.8890000000000002
151,second,0.0,13.684000000000001
152,first,8.894,0.0
152,second,7.046,0.211
153,first,25.075,24.026
153,second,29.17,22.436
154,first,20.321,2.834
154,second,14.049000000000001,8.511000000000001
155,first,33.075,15.132
155,second,36.381,18.221
156,first,16.875,0.12
156,second,17.406000000000002,0.502
157,first,10.391,3.584
157,second,0.0,14.9
158,first,22.688000000000002,20.493000000000002
158,second,20.052,24.992
159,first,12.169,12.342
159,second,9.91,15.811
160,first,24.387,30.298000000000002
160,second,23.481,32.972
161,first,10.163,3.512
161,second,0.0,14.036
162,first,37.935,6.558
162,second,21.494,27.183
163,first,20.418,5.007
163,second,0.0,27.868000000000002
164,first,10.109,40.085
164,second,20.364,27.982
165,first,15.224,1.6520000000000001
165,second,0.0,20.946
166,first,10.231,10.681000000000001
166,second,0.0,21.934
167,first,9.992,1.952
167,second,0.0,13.262
168,first,7.011,0.0
168,second,3.04,2.993
170,first,9.797,10.427
170,second,0.0,21.46
171,first,1.4460000000000002,0.0
171,second,2.648,0.0
172,first,6.698,0.0
172,second,3.712,2.8930000000000002
173,first,28.855,3.3930000000000002
173,second,19.779,12.917
174,first,32.551,24.969
174,second,36.758,19.024
175,first,25.328,24.746000000000002
175,second,27.697000000000003,21.751
176,first,19.017,14.658000000000001
176,second,1.046,34.387
177,first,21.096,2.67
177,second,16.935,9.028
178,first,36.1,4.955
178,second,27.312,17.432000000000002
180,first,17.988,35.741
180,second,11.366,41.697
181,first,39.83,19.975
181,second,9.908,54.283
183,first,48.33,8.018
183,second,26.556,55.151
184,first,21.109,18.294
184,second,0.0,43.948
185,first,24.02,36.516
185,second,36.334,20.135
186,first,20.226,34.109
186,second,9.951,46.598
187,first,50.145,27.243000000000002
187,second,42.883,31.471
188,first,20.099,3.96
