,Unnamed: 0,DateTime,posX,posZ,taskState,mapInteractions,participant,scenario,routename,trajectory_Id,segment_name
6176,6709,2023-09-22 15:02:31.059,-581.5,-532.0,setNavigationTarget:Coop,,10,1,n_to_Coop,33,h14
6177,6710,2023-09-22 15:02:31.081,-581.5,-532.0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,10,1,n_to_Coop,33,h14
6178,6711,2023-09-22 15:02:31.081,-581.5,-532.0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Coop,10,1,n_to_Coop,33,h14
6179,6712,2023-09-22 15:02:31.105,-581.5,-532.0,,mapLog:positionXYZ+-583.1699+100+-520.9464,10,1,n_to_Coop,33,h14
6180,6713,2023-09-22 15:02:31.452,-581.5,-532.0,,,10,1,n_to_Coop,33,h14
6181,6714,2023-09-22 15:02:31.972,-581.5,-532.0,,,10,1,n_to_Coop,33,h14
6182,6715,2023-09-22 15:02:32.494,-581.5,-532.0,,,10,1,n_to_Coop,33,h14
6183,6716,2023-09-22 15:02:33.017,-581.4908,-532.0,,,10,1,n_to_Coop,33,h14
6184,6717,2023-09-22 15:02:33.540,-581.486,-532.0,,,10,1,n_to_Coop,33,h14
6185,6718,2023-09-22 15:02:34.051,-581.486,-532.0,,,10,1,n_to_Coop,33,h14
6186,6719,2023-09-22 15:02:34.556,-581.519,-532.0,,,10,1,n_to_Coop,33,h14
6187,6720,2023-09-22 15:02:35.058,-581.6555,-532.0,,,10,1,n_to_Coop,33,h14
6188,6721,2023-09-22 15:02:35.570,-581.8142,-532.0,,,10,1,n_to_Coop,33,h14
6189,6722,2023-09-22 15:02:36.075,-582.0648,-532.0,,,10,1,n_to_Coop,33,h14
6190,6723,2023-09-22 15:02:36.604,-582.4537,-532.0,,,10,1,n_to_Coop,33,h14
6191,6724,2023-09-22 15:02:37.106,-582.9082,-532.0,,,10,1,n_to_Coop,33,h14
6192,6725,2023-09-22 15:02:37.606,-583.2506,-532.0,,,10,1,n_to_Coop,33,h14
6193,6726,2023-09-22 15:02:38.131,-583.2744,-532.0,,,10,1,n_to_Coop,33,h14
6194,6727,2023-09-22 15:02:38.640,-583.2744,-532.0,,,10,1,n_to_Coop,33,h14
6195,6728,2023-09-22 15:02:39.154,-583.2744,-532.0,,,10,1,n_to_Coop,33,h14
6196,6729,2023-09-22 15:02:39.682,-583.5267,-532.0,,,10,1,n_to_Coop,33,h14
6197,6730,2023-09-22 15:02:40.187,-584.6201,-532.0,,,10,1,n_to_Coop,33,h14
6198,6731,2023-09-22 15:02:40.721,-585.4802,-532.0,,,10,1,n_to_Coop,33,h14
6199,6732,2023-09-22 15:02:41.250,-585.6578,-532.0,,,10,1,n_to_Coop,33,h14
6200,6733,2023-09-22 15:02:41.630,-585.7638,-532.0,,mapLog:isScreenLocked+True,10,1,n_to_Coop,33,h14
