,Unnamed: 0,DateTime,posX,posZ,taskState,mapInteractions,participant,scenario,routename,trajectory_Id,segment_name
991,991,2023-09-21 17:09:15.713,-581.3978,-532.0,setNavigationTarget:Cool Beans,,8,2,n_to_Cool Beans,5,h14
992,992,2023-09-21 17:09:15.731,-581.3974,-532.0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,8,2,n_to_Cool Beans,5,h14
993,993,2023-09-21 17:09:15.751,-581.397,-532.0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Cool Beans,8,2,n_to_Cool Beans,5,h14
994,994,2023-09-21 17:09:15.772,-581.3967,-532.0,,mapLog:positionXYZ+-582.5432+99.99997+-544.3596,8,2,n_to_Cool Beans,5,h14
995,995,2023-09-21 17:09:15.773,-581.3967,-532.0,,,8,2,n_to_Cool Beans,5,h14
996,996,2023-09-21 17:09:16.276,-581.3875,-532.0,,,8,2,n_to_Cool Beans,5,h14
997,997,2023-09-21 17:09:16.779,-581.3813,-532.0,,,8,2,n_to_Cool Beans,5,h14
998,998,2023-09-21 17:09:17.283,-581.3781,-532.0,,,8,2,n_to_Cool Beans,5,h14
999,999,2023-09-21 17:09:17.785,-581.3781,-532.0,,,8,2,n_to_Cool Beans,5,h14
1000,1000,2023-09-21 17:09:18.292,-581.3781,-532.0,,,8,2,n_to_Cool Beans,5,h14
1001,1001,2023-09-21 17:09:18.798,-581.3781,-532.0,,,8,2,n_to_Cool Beans,5,h14
1002,1002,2023-09-21 17:09:19.305,-581.3781,-532.0,,,8,2,n_to_Cool Beans,5,h14
1003,1003,2023-09-21 17:09:19.815,-581.3795,-532.0,,,8,2,n_to_Cool Beans,5,h14
1004,1004,2023-09-21 17:09:20.320,-581.4236,-532.0,,,8,2,n_to_Cool Beans,5,h14
1005,1005,2023-09-21 17:09:20.821,-581.5721,-532.0,,,8,2,n_to_Cool Beans,5,h14
1006,1006,2023-09-21 17:09:21.326,-581.6646,-532.0,,,8,2,n_to_Cool Beans,5,h14
1007,1007,2023-09-21 17:09:21.836,-581.6646,-532.0,,,8,2,n_to_Cool Beans,5,h14
1008,1008,2023-09-21 17:09:22.354,-581.9002,-532.0,,,8,2,n_to_Cool Beans,5,h14
1009,1009,2023-09-21 17:09:22.864,-582.768,-532.0,,,8,2,n_to_Cool Beans,5,h14
1010,1010,2023-09-21 17:09:23.367,-583.6061,-532.0,,,8,2,n_to_Cool Beans,5,h14
1011,1011,2023-09-21 17:09:23.884,-584.6246,-532.0,,,8,2,n_to_Cool Beans,5,h14
1012,1012,2023-09-21 17:09:24.403,-585.8018,-532.0,,,8,2,n_to_Cool Beans,5,h14
1013,1013,2023-09-21 17:09:24.928,-587.084,-532.0,,,8,2,n_to_Cool Beans,5,h14
1014,1014,2023-09-21 17:09:25.443,-588.4563,-532.0,,,8,2,n_to_Cool Beans,5,h14
1015,1015,2023-09-21 17:09:25.873,-589.726,-532.0,,mapLog:isScreenLocked+True,8,2,n_to_Cool Beans,5,h14
1016,1016,2023-09-21 17:09:25.968,-589.9952,-532.0,,,8,2,n_to_Cool Beans,5,h14
1017,1017,2023-09-21 17:09:26.486,-591.553,-532.0,,,8,2,n_to_Cool Beans,5,h14
1018,1018,2023-09-21 17:09:27.005,-600.0,-540.1234,,,8,2,n_to_Cool Beans,5,v81
1019,1019,2023-09-21 17:09:27.528,-600.0,-540.6144,,,8,2,n_to_Cool Beans,5,v81
1020,1020,2023-09-21 17:09:28.058,-600.0,-541.3427,,,8,2,n_to_Cool Beans,5,v81
1021,1021,2023-09-21 17:09:28.574,-600.0,-542.2635,,,8,2,n_to_Cool Beans,5,v81
