,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
229,21,2,4,0,208.99,2
231,21,3,1,0.03,254.78,6
232,21,3,2,0.21,243.36,3
233,21,3,3,1,369.12,8
234,21,3,4,0.49,78.55,3
236,21,4,1,0.34,61.57,2
237,21,4,2,0,216.8,5
238,21,4,3,0,112.79,2
239,21,4,4,0,129.57,2
241,22,1,1,0.13,227.77,4
242,22,1,2,0.07,377.03,4
243,22,1,3,0.04,98.01,2
244,22,1,4,0,127.23,4
246,22,2,1,0,380.37,10
247,22,2,2,0,217.07,6
248,22,2,3,1.01,75.47,1
249,22,2,4,0,49.9,1
251,22,3,1,0.01,209.72,5
252,22,3,2,0.09,69.14,1
253,22,3,3,0.07,226.56,2
254,22,3,4,5.86,225.83,5
256,22,4,1,0.69,76.16,1
257,22,4,2,0,230.94,4
258,22,4,3,0,126.72,1
259,22,4,4,20.1,117.16,1
261,23,1,1,0,67.99,2
262,23,1,2,0.82,217.63,6
263,23,1,3,1.27,144.66,4
264,23,1,4,0,148.65,4
266,23,2,1,0.07,431.26,13
267,23,2,2,1.58,195.96,6
268,23,2,3,0.81,81.51,2
269,23,2,4,1.94,165.16,5
271,23,3,1,0.05,590.44,14
272,23,3,2,0,83.82,2
273,23,3,3,0.13,92.95,3
274,23,3,4,0.03,131.89,4
276,23,4,1,3.22,227.26,4
277,23,4,2,0.01,513.64,13
278,23,4,3,0.22,196.64,4
279,23,4,4,0.53,191.54,5
281,24,1,1,0.11,116.39,1
282,24,1,2,0,327.53,1
283,24,1,3,0,134.68,1
284,24,1,4,0,172.24,2
286,24,2,1,0,183.74,2
287,24,2,2,0,65.07,1
288,24,2,3,0,477.42,7
289,24,2,4,0,56.23,1
291,24,3,1,0.76,190.47,2
292,24,3,2,0.39,180.97,1
293,24,3,3,0.07,75.59,1
294,24,3,4,0.02,124.01,1
296,24,4,1,0,86.25,1
297,24,4,2,0.23,255.51,2
298,24,4,3,0.15,288.91,3
299,24,4,4,0,157.28,1
301,25,1,1,0.07,206.39,2
302,25,1,2,0,212.25,2
303,25,1,3,0.02,77.8,1
304,25,1,4,0.05,47.07,1
306,25,2,1,0,329.22,2
307,25,2,2,0,159.84,2
308,25,2,3,0,81.66,1
309,25,2,4,0,41.67,1
311,25,3,1,0,210.65,4
312,25,3,2,0.54,261.16,3
313,25,3,3,0,155.63,2
314,25,3,4,0.61,126.48,1
316,25,4,1,1.2,212.87,3
317,25,4,2,0,471.2,5
318,25,4,3,0.09,199.05,1
319,25,4,4,13.2,151.66,3
321,26,1,1,0,73.42,2
322,26,1,2,2.19,249.92,5
323,26,1,3,0,118.5,4
324,26,1,4,0,242.55,7
326,26,2,1,0.35,241.75,6
327,26,2,2,6.95,119.66,2
328,26,2,3,3.26,206.42,4
329,26,2,4,0.15,272.12,7
331,26,3,1,0.09,147.14,3
332,26,3,2,0,359.66,13
333,26,3,3,9.57,90.28,3
334,26,3,4,0.92,308.22,10
336,26,4,1,4.11,212.2,5
337,26,4,2,57.3,251.99,3
338,26,4,3,0.43,254.46,5
339,26,4,4,16.5,200.8,7
341,27,1,1,0,120.45,1
342,27,1,2,169.33,0,0
343,27,1,3,0.28,240.06,1
344,27,1,4,33.67,113.36,1
346,27,2,1,0,265.18,2
347,27,2,2,0,64.76,1
348,27,2,3,0,169.75,1
349,27,2,4,3.27,175.8,2
351,27,3,1,0.85,192.76,2
352,27,3,2,0.38,151.63,2
353,27,3,3,17.19,47.57,1
354,27,3,4,0.09,63.34,1
356,27,4,1,0,73.55,1
357,27,4,2,0,233.9,3
358,27,4,3,0,79.92,1
359,27,4,4,0.81,125.4,1
