,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
998,59,4,4,0,158.42,4
1000,60,1,1,63.54,2.33,0
1001,60,1,2,212.91,166.79,2
1002,60,1,3,1.41,194.62,2
1003,60,1,4,112.53,17.46,0
1005,60,2,1,0.57,647.4,4
1006,60,2,2,0,122.32,1
1007,60,2,3,1.45,149.65,1
1008,60,2,4,0,24.9,1
1010,60,3,1,74.45,72.76,1
1011,60,3,2,154.8,4.08,0
1012,60,3,3,23.96,170.68,2
1013,60,3,4,0,44.89,1
1015,60,4,1,1.18,606.34,11
1016,60,4,2,0.01,158.79,2
1017,60,4,3,1.96,577.66,12
1018,60,4,4,3.83,125.03,2
1020,61,1,1,0,63.79,1
1021,61,1,2,0,483.08,9
1022,61,1,3,0,83.56,2
1023,61,1,4,0,135.39,2
1025,61,2,1,0.05,231.08,5
1026,61,2,2,1.01,80.52,2
1027,61,2,3,0.13,378.08,7
1028,61,2,4,0,122.46,3
1030,61,3,1,0.96,150.07,3
1031,61,3,2,0,101.07,3
1032,61,3,3,0.1,69.32,1
1033,61,3,4,0.36,319.43,4
1035,61,4,1,1.89,185.69,1
1036,61,4,2,0,291.32,6
1037,61,4,3,0.29,194.4,3
1038,61,4,4,0.2,132.33,3
1040,62,1,1,0,77.54,4
1041,62,1,2,0,259.31,7
1042,62,1,3,0,30.02,1
1043,62,1,4,0,244.06,9
1045,62,2,1,0,206.6,8
1046,62,2,2,0.48,93.98,4
1047,62,2,3,3.6,246.54,9
1048,62,2,4,19.86,168.9,6
1050,62,3,1,3.07,654.86,20
1051,62,3,2,3.29,64.37,2
1052,62,3,3,0.35,198.36,8
1053,62,3,4,6.7,119.68,3
1055,62,4,1,0.76,210.42,9
1056,62,4,2,0.06,507.07,19
1057,62,4,3,0.87,247.82,5
1058,62,4,4,4.68,156.26,3
1060,63,1,1,0,132.81,5
1061,63,1,2,0,144.7,3
1062,63,1,3,0,239.9,7
1063,63,1,4,0.14,164.53,3
1065,63,2,1,0,315.56,9
1066,63,2,2,0,156.23,5
1067,63,2,3,0,91.68,3
1068,63,2,4,0,60.63,1
1070,63,3,1,2.45,145.88,5
1071,63,3,2,8.9,203.25,5
1072,63,3,3,0,204.93,6
1073,63,3,4,0.11,48.26,1
1075,63,4,1,1.21,135.21,4
1076,63,4,2,0,124.22,4
1077,63,4,3,2.83,208.43,5
1078,63,4,4,1.41,163.16,5
