,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,planning_speed,navigating_speed
75,28,4,45.492,223.303,2.67,485.75,12,11,1.75,1.96,0.06,2.18
76,29,1,103.692,360.691,0,794.15,4,19,103.69,39.74,0,2.2
77,29,2,69.806,400.222,16.88,955.95,12,18,0.69,15.94,0.24,2.39
78,29,3,66.273,247.243,2.16,476.22,8,20,58.73,27.64,0.03,1.93
79,29,4,26.192,385.271,0.36,852.58,5,21,25.37,31.81,0.01,2.21
80,30,1,56.41,261.666,0.42,577.87,5,15,55.89,39.27,0.01,2.21
81,30,2,75.942,366.58,0,626.38,5,23,75.98,86.2,0,1.71
82,30,3,79.883,394.242,1.83,562.25,16,32,0.77,15.95,0.02,1.43
83,30,4,47.049,463.556,10.18,905.65,13,22,18.75,33.8,0.22,1.95
84,31,1,67.982,369.356,1.71,701.84,8,22,63.02,70.61,0.03,1.9
85,31,2,41.535,259.844,0.5,598.11,6,17,32.75,11.21,0.01,2.3
86,31,3,41.363,581.965,0.36,911.58,3,36,39.27,45.29,0.01,1.57
87,31,4,57.422,522.695,5.06,994.78,12,17,0.02,9.37,0.09,1.9
88,32,1,42.683,294.296,0.15,561.64,8,16,14.01,15.11,0,1.91
89,32,2,73.537,359.943,22.41,929.08,14,20,38.95,21.29,0.3,2.58
90,32,3,49.243,296.52,2.68,684.66,6,21,38.07,15.55,0.05,2.31
91,32,4,89.895,331.224,7.27,659.37,8,21,70.32,28.44,0.08,1.99
92,33,1,105.872,340.151,3.06,834.06,8,10,76.33,34.84,0.03,2.45
93,33,2,90.659,366.418,0.54,870.11,5,14,89.57,41.41,0.01,2.37
94,33,3,81.214,301.433,1.95,584.59,9,12,75.23,29.93,0.02,1.94
95,33,4,55.944,233.141,1.1,516.79,13,12,7.05,0.62,0.02,2.22
96,34,1,163.369,249.712,27.92,556.47,9,13,148.68,53.73,0.17,2.23
97,34,2,101.248,394.039,62.8,880.73,5,14,67.88,21.27,0.62,2.24
98,34,3,128.203,397.717,49.66,655.5,15,35,92.79,89.69,0.39,1.65
99,34,4,241.754,122.31,236.47,300.58,26,11,65.4,4.4,0.98,2.46
100,35,1,26.35,204.785,0.5,528.14,4,9,9.27,2.83,0.02,2.58
101,35,2,42.388,189.169,34.68,526,4,9,15.84,4.37,0.82,2.78
