,Unnamed: 0,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,interaction_count,frequency_distance,frequency_time
67,67,26,4,76.509,399.804,78.34,919.44,36,33,25.58,18.09,902,0.9,1.89
68,68,27,1,135.133,177.578,203.28,473.87,11,8,47.74,13.48,379,0.56,1.21
69,69,27,2,17.502,250.717,3.27,675.5,4,9,14.95,15.99,524,0.77,1.95
70,70,27,3,63.977,190.667,18.52,455.3,13,9,5.97,1.01,399,0.84,1.57
71,71,27,4,18.164,217.718,0.81,512.77,4,14,17.03,7.41,453,0.88,1.92
72,72,28,1,23.112,220.887,0.01,573.85,4,13,22.74,13.42,492,0.86,2.02
73,73,28,2,29.015,310.154,13.51,826.25,4,11,18.04,5.52,647,0.77,1.91
74,74,28,3,54.176,246.43,1.88,593.59,10,11,47.2,4.56,506,0.85,1.68
75,75,28,4,45.492,223.303,2.67,485.75,12,11,1.75,1.96,475,0.97,1.77
76,76,29,1,103.692,360.691,0.0,794.15,4,19,103.69,39.74,801,1.01,1.72
77,77,29,2,69.806,400.222,16.88,955.95,12,18,0.69,15.94,843,0.87,1.79
78,78,29,3,66.273,247.243,2.16,476.22,8,20,58.73,27.64,509,1.06,1.62
79,79,29,4,26.192,385.271,0.36,852.58,5,21,25.37,31.81,787,0.92,1.91
80,80,30,1,56.41,261.666,0.42,577.87,5,15,55.89,39.27,582,1.01,1.83
81,81,30,2,75.942,366.58,0.0,626.38,5,23,75.98,86.2,842,1.34,1.9
82,82,30,3,79.883,394.242,1.83,562.25,16,32,0.77,15.95,852,1.51,1.8
83,83,30,4,47.049,463.556,10.18,905.65,13,22,18.75,33.8,985,1.08,1.93
84,84,31,1,67.982,369.356,1.71,701.84,8,22,63.02,70.61,829,1.18,1.9
85,85,31,2,41.535,259.844,0.5,598.11,6,17,32.75,11.21,578,0.97,1.92
86,86,31,3,41.363,581.965,0.36,911.58,3,36,39.27,45.29,1130,1.24,1.81
87,87,31,4,57.422,522.695,5.06,994.78,12,17,0.02,9.37,1079,1.08,1.86
88,88,32,1,42.683,294.296,0.15,561.64,8,16,14.01,15.11,679,1.21,2.01
89,89,32,2,73.537,359.943,22.41,929.08,14,20,38.95,21.29,872,0.92,2.01
90,90,32,3,49.243,296.52,2.68,684.66,6,21,38.07,15.55,638,0.93,1.85
91,91,32,4,89.895,331.224,7.27,659.37,8,21,70.32,28.44,721,1.08,1.71
92,92,33,1,105.872,340.151,3.06,834.06,8,10,76.33,34.84,727,0.87,1.63
93,93,33,2,90.659,366.418,0.54,870.11,5,14,89.57,41.41,771,0.89,1.69
94,94,33,3,81.214,301.433,1.95,584.59,9,12,75.23,29.93,614,1.05,1.6
95,95,33,4,55.944,233.141,1.1,516.79,13,12,7.05,0.62,473,0.91,1.64
96,96,34,1,163.369,249.712,27.92,556.47,9,13,148.68,53.73,592,1.01,1.43
97,97,34,2,101.248,394.039,62.8,880.73,5,14,67.88,21.27,839,0.89,1.69
98,98,34,3,128.203,397.717,49.66,655.5,15,35,92.79,89.69,872,1.24,1.66
99,99,34,4,241.754,122.31,236.47,300.58,26,11,65.4,4.4,270,0.5,0.74
100,100,35,1,26.35,204.785,0.5,528.14,4,9,9.27,2.83,465,0.88,2.01
