"","id","scenario_id","t_id","p_desc","p_id","task_phase_time","task_deactive_time_map","task_perc_inactive","task_perc_active"
"1","10","1",1,"navigating",2,136.109999895096,22.5279998779297,0.165513187093474,0.834486812906526
"2","10","1",1,"planning",1,8.75100016593933,0,0,1
"3","10","1",2,"navigating",5,61.2439999580383,16.1859998703003,0.264287111903047,0.735712888096953
"4","10","1",2,"planning",4,5.95499992370605,0,0,1
"5","10","1",3,"navigating",8,20.3050000667572,8.80200004577637,0.433489289181868,0.566510710818132
"6","10","1",3,"planning",7,3.35599994659424,0,0,1
"7","10","1",4,"navigating",11,3.79699993133545,0,0,1
"8","10","1",4,"planning",10,35.7699999809265,7.75300002098083,0.216745877134888,0.783254122865112
"9","10","2",1,"navigating",2,105.305000066757,23.3300001621246,0.221546936492425,0.778453063507575
"10","10","2",1,"planning",1,9.07299995422363,0,0,1
"11","10","2",2,"navigating",5,64.7839999198914,10.5750002861023,0.163234753938917,0.836765246061083
"12","10","2",2,"planning",4,4.40599989891052,0,0,1
"13","10","2",3,"navigating",8,56.3670001029968,9.58999991416931,0.170135006238507,0.829864993761493
"14","10","2",3,"planning",7,4.51900005340576,0,0,1
"15","10","2",4,"navigating",11,138.051999807358,20.3930003643036,0.147719702668275,0.852280297331725
"16","10","2",4,"planning",10,16.9279999732971,0,0,1
"17","10","3",1,"navigating",2,70.2180001735687,16.3100004196167,0.232276629629165,0.767723370370835
"18","10","3",1,"planning",1,8.66500020027161,0,0,1
"19","10","3",2,"navigating",5,162.90700006485,42.8690004348755,0.263150143442641,0.73684985655736
"20","10","3",2,"planning",4,42.271999835968,0,0,1
"21","10","3",3,"navigating",8,53.6480000019073,11.6919996738434,0.217939152874808,0.782060847125192
"22","10","3",3,"planning",7,8.72900009155273,0,0,1
"23","10","3",4,"navigating",11,248.766999959946,40.5509996414185,0.163007953820031,0.836992046179969
"24","10","3",4,"planning",10,5.35800004005432,0,0,1
"25","10","4",1,"navigating",2,73.6640000343323,21.4700002670288,0.291458517824478,0.708541482175522
"26","10","4",1,"planning",1,12.529000043869,0,0,1
"27","10","4",2,"navigating",5,133.344000101089,29.422000169754,0.220647349317921,0.779352650682079
"28","10","4",2,"planning",4,88.8959999084473,10.8159999847412,0.121670266332349,0.878329733667651
"29","10","4",3,"navigating",8,114.148000001907,28.6929998397827,0.251366645401613,0.748633354598387
"30","10","4",3,"planning",7,4.98800015449524,0,0,1
"31","10","4",4,"navigating",11,96.9010000228882,25.3140001296997,0.261235695438855,0.738764304561145
"32","10","4",4,"planning",10,8.40800023078918,0,0,1
