Unnamed: 0,id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation
64,25,4,21.9849998950958,447.604999780655,25,4,21.985,447.808,-0.00,-0.20
65,26,1,44.7720000743865,312.368999958039,26,1,44.772,312.472,0.00,-0.10
66,26,2,55.5170001983643,356.587000131607,26,2,55.517,356.719,0.00,-0.13
67,26,3,42.072000026703,484.862000226974,26,3,42.072,485.048,0.00,-0.19
68,26,4,76.5089998245239,399.697000026703,26,4,76.509,399.804,-0.00,-0.11
69,27,1,135.131999969482,176.262999773026,27,1,135.133,177.578,-0.00,-1.32
70,27,2,17.4799997806549,250.441999912262,27,2,17.502,250.717,-0.02,-0.28
71,27,3,63.9769999980926,190.374999761581,27,3,63.977,190.667,-0.00,-0.29
72,27,4,18.1639997959137,217.541999816895,27,4,18.164,217.718,-0.00,-0.18
73,28,1,23.1119999885559,220.731000185013,28,1,23.112,220.887,-0.00,-0.16
74,28,2,29.0140001773834,310.056000232697,28,2,29.015,310.154,-0.00,-0.10
75,28,3,54.1760001182556,246.197000026703,28,3,54.176,246.43,0.00,-0.23
76,28,4,45.4919998645783,223.124999761581,28,4,45.492,223.303,-0.00,-0.18
77,29,1,103.691999673843,360.470000028611,29,1,103.692,360.691,-0.00,-0.22
78,29,2,69.8049998283386,400.013999938965,29,2,69.806,400.222,-0.00,-0.21
79,29,3,66.2729997634889,246.969000101089,29,3,66.273,247.243,-0.00,-0.27
80,29,4,26.191999912262,384.993000507355,29,4,26.192,385.271,-0.00,-0.28
81,30,1,56.4100003242493,261.491000413895,30,1,56.41,261.666,0.00,-0.17
82,30,2,75.9029996395111,366.341999530793,30,2,75.94200000000001,366.58,-0.04,-0.24
83,30,3,79.8829998970032,394.011999607086,30,3,79.883,394.242,-0.00,-0.23
84,30,4,47.048999786377,463.302999973297,30,4,47.049,463.556,-0.00,-0.25
85,31,1,66.6900000572204,369.151999950409,31,1,67.982,369.356,-1.29,-0.20
86,31,2,41.5350003242492,259.664000272751,31,2,41.535,259.844,0.00,-0.18
87,31,3,66.797000169754,503.769999980927,31,3,66.797,503.89,0.00,-0.12
88,31,4,57.4219999313355,522.452999830246,31,4,57.422,522.695,-0.00,-0.24
89,32,1,42.6829998493195,294.130000114441,32,1,42.683,294.296,-0.00,-0.17
90,32,2,73.5369999408722,359.707000255585,32,2,73.537,359.943,-0.00,-0.24
91,32,3,49.2409996986389,296.290000200272,32,3,49.243,296.52000000000004,-0.00,-0.23
92,32,4,89.8929998874665,330.953999757766,32,4,89.895,331.224,-0.00,-0.27
93,33,1,105.871999979019,339.946000099182,33,1,105.872,340.151,-0.00,-0.20
94,33,2,90.65900015831,366.227999925613,33,2,90.659,366.418,0.00,-0.19
95,33,3,81.2139999866486,301.214999914169,33,3,81.214,301.433,-0.00,-0.22
96,33,4,55.9439997673034,232.729000329971,33,4,55.944,233.141,-0.00,-0.41
97,34,1,163.276000022888,249.484000444412,34,1,163.369,249.712,-0.09,-0.23
98,34,2,101.24799990654,393.813999891282,34,2,101.248,394.039,-0.00,-0.23
99,34,3,128.198000192642,397.542000055313,34,3,128.203,397.717,-0.00,-0.17
100,34,4,241.753999948502,122.047000169754,34,4,241.754,122.31,-0.00,-0.26
101,35,1,26.3500003814697,204.582000017166,35,1,26.35,204.785,0.00,-0.20
102,35,2,42.3880000114441,188.966000080109,35,2,42.388,189.169,0.00,-0.20
103,35,3,58.0360000133514,252.878999948501,35,3,58.036,253.119,0.00,-0.24
104,35,4,14.6970002651214,426.526000022888,35,4,14.697,426.748,0.00,-0.22
105,36,1,78.9609999656677,266.836000204086,36,1,78.961,267.045,-0.00,-0.21
106,36,2,44.5890002250671,249.886999845505,36,2,44.59,250.037,-0.00,-0.15
107,36,3,61.4939999580383,247.27599978447,36,3,61.494,247.487,-0.00,-0.21
108,36,4,73.5700001716614,374.381999731064,36,4,73.57000000000001,374.592,0.00,-0.21
109,37,1,141.993999958038,588.195999860763,37,1,141.994,588.366,-0.00,-0.17
110,37,2,76.6349997520446,477.141000032426,37,2,76.635,477.279,-0.00,-0.14
111,37,3,60.6189997196198,850.457000017165,37,3,60.619,850.6800000000001,-0.00,-0.22
112,37,4,64.6379997730256,400.345000267028,37,4,64.638,400.53,-0.00,-0.18
113,38,1,48.4360001087188,446.047999858857,38,1,48.436,446.153,0.00,-0.11
114,38,2,71.9389998912811,462.130000114441,38,2,71.93900000000001,462.237,-0.00,-0.11
115,38,3,98.4140000343322,730.12199997902,38,3,98.414,730.248,0.00,-0.13
