,mean,std,median,skewness,kurtosis,25th_percentile,50th_percentile,75th_percentile,participant,cluster
5,6.747647058823531,12.081199230863826,1.335,3.222792525544746,12.179705094923925,0.555,1.335,7.6274999999999995,15,0
6,4.182330097087379,5.04288621394178,1.66,1.5932068264344585,2.258009359000898,0.5700000000000001,1.66,6.32,16,0
7,3.1002884615384616,5.448251387924452,0.98,3.8472284491461566,17.32282621184688,0.7,0.98,2.65,17,0
8,14.088541666666666,14.491641267408738,10.665,1.0296851574125838,-0.018688200070754224,1.68,10.665,21.755,18,0
9,10.436511627906976,9.229108622764988,8.76,1.197677970341627,1.0405768217074218,3.77,8.76,12.945,19,0
10,10.89,10.817785655414257,5.9,1.0121909109450524,0.12722556898834503,1.76,5.9,15.78,20,0
11,10.971044776119404,11.522581092265998,7.6,1.5635382129696838,1.876879607084435,2.6950000000000003,7.6,15.01,21,0
12,13.979038461538464,17.078275027695206,6.5649999999999995,1.6830490927010846,1.8599934916558825,2.815,6.5649999999999995,16.182499999999997,22,0
13,5.653846153846154,7.961939375158166,2.71,3.1691643406938854,13.189819438310252,0.99,2.71,6.775,23,0
14,36.13107142857143,27.27898973559867,42.239999999999995,0.6473375042228554,0.5900449944253978,8.434999999999999,42.239999999999995,49.15,24,2
15,24.518823529411765,18.987932818860614,22.064999999999998,0.955175667425159,0.6215618994639098,9.442499999999999,22.064999999999998,35.105,25,1
16,3.995116279069767,5.380227527000427,1.2,1.842564361216242,2.519411916131511,0.75,1.2,5.115,26,0
17,26.976190476190474,18.92504198301702,21.66,1.2849491303185938,1.1892393730139483,14.13,21.66,35.83,27,1
18,22.935357142857146,19.944284623875664,16.695,0.9722845282358248,0.10803861065129228,8.620000000000001,16.695,31.3575,28,1
19,21.04925,15.200878327830269,20.43,0.5300110437261066,-0.5190475991416998,9.31,20.43,32.435,29,1
20,8.695833333333333,11.143638138966207,2.6799999999999997,1.52333717685757,1.58840955498595,0.7775000000000001,2.6799999999999997,14.685,30,0
21,14.915,17.916222590059316,8.165,1.570287408766391,1.6881660787996955,1.4,8.165,19.8675,31,0
22,7.445357142857143,10.16350279963376,2.9450000000000003,1.9941195829370137,3.5890762601104136,0.875,2.9450000000000003,7.34,32,0
23,32.0392,22.058743014052272,37.78,0.24610568672944969,-0.8626940860694172,13.52,37.78,42.44,33,2
24,17.62428571428572,20.017625845484172,11.09,2.374054396642142,6.614120682327018,5.58,11.09,18.490000000000002,34,0
25,6.35877192982456,8.14124049131689,2.78,2.178752557006789,4.7573041183821445,1.0,2.78,7.95,35,0
