"","id","scenario_id","planning_time","navigating_time"
"1",8,1,121.194999933243,461.563000440597
"2",8,2,44.0690000057221,359.604999542236
"3",8,3,58.0280001163482,248.27699971199
"4",8,4,72.9010000228882,562.428999662399
"5",9,1,152.907000303268,215.369999885559
"6",9,2,74.3660001754761,224.499000310898
"7",9,3,68.6840000152588,369.073000192642
"8",9,4,57.7260003089906,740.883000135422
"9",10,1,53.8320000171661,221.455999851227
"10",10,2,34.925999879837,364.507999897003
"11",10,3,65.0240001678467,535.540000200272
"12",10,4,114.821000337601,418.057000160216
"13",12,1,64.470999956131,318.207000017166
"14",12,2,56.4909996986389,370.56200003624
"15",12,3,76.8950002193452,536.82000017166
"16",12,4,45.7820003032685,389.022999763489
"17",13,1,34.6729998588562,220.192000150681
"18",13,2,22.5539999008179,223.097999811172
"19",13,3,39.1720004081726,223.856999874115
"20",13,4,22.1729996204376,454.536999702454
"21",15,1,21.2460000514984,294.605999708175
"22",15,2,110.656999588013,275.160000085831
"23",15,3,77.8630001544952,534.826000213623
"24",15,4,59.1449999809265,859.552999973298
"25",16,1,62.6059999465943,271.461999893189
"26",16,2,36.5560002326965,459.168000221253
"27",16,3,47.034999847412,303.520000219345
"28",16,4,59.2679998874664,651.236999511718
"29",17,1,64.753999710083,346.950000047683
"30",17,2,59.9599997997284,366.556999921799
"31",17,3,84.925999879837,544.609999895096
"32",17,4,50.6789999008178,352.212000131607
"33",18,1,32.188000202179,274.177000045776
"34",18,2,50.3180000782014,406.942999839782
"35",18,3,52.1409997940063,346.730999708176
"36",18,4,18.0019998550415,223.784999847412
"37",19,1,34.8179998397827,268.883000135422
"38",19,2,17.2769999504089,217.236999988556
"39",19,3,74.7859997749328,290.252000331879
"40",19,4,21.4639999866486,284.371000051499
"41",20,1,72.1159996986388,276.723999738693
"42",20,2,160.762000083923,119.61699962616
"43",20,3,123.569000005722,86.4700000286102
"44",20,4,46.7720000743866,356.627999782563
"45",21,1,39.7119998931885,321.75
"46",21,2,17.345999956131,525.309000015258
"47",21,3,27.8810002803803,438.165999889374
"48",21,4,11.7379996776581,249.068999528885
"49",22,1,89.5349998474121,400.402000427246
"50",22,2,60.8210000991822,292.175000190735
"51",22,3,72.6510002613068,418.556000232696
"52",22,4,52.7550001144409,278.223000049591
"53",23,1,20.5649998188019,222.182999610901
"54",23,2,28.4190003871918,354.549999952317
"55",23,3,47.0080001354218,415.46599984169
"56",23,4,28.8940000534058,548.696000099183
"57",24,1,44.5970001220703,329.552999973298
"58",24,2,31.4509997367859,342.269999980927
"59",24,3,36.444000005722,302.043000221252
"60",24,4,68.2870001792908,403.204000234604
"61",25,1,40.7530000209808,235.112999916077
"62",25,2,28.3199999332428,241.782000303268
"63",25,3,26.172000169754,360.129999876022
"64",25,4,21.9849998950958,447.604999780655
"65",26,1,44.7720000743865,312.368999958039
"66",26,2,55.5170001983643,356.587000131607
"67",26,3,42.072000026703,484.862000226974
"68",26,4,76.5089998245239,399.697000026703
"69",27,1,135.131999969482,176.262999773026
"70",27,2,17.4799997806549,250.441999912262
"71",27,3,63.9769999980926,190.374999761581
"72",27,4,18.1639997959137,217.541999816895
"73",28,1,23.1119999885559,220.731000185013
"74",28,2,29.0140001773834,310.056000232697
"75",28,3,54.1760001182556,246.197000026703
"76",28,4,45.4919998645783,223.124999761581
"77",29,1,103.691999673843,360.470000028611
"78",29,2,69.8049998283386,400.013999938965
"79",29,3,66.2729997634889,246.969000101089
"80",29,4,26.191999912262,384.993000507355
"81",30,1,56.4100003242493,261.491000413895
"82",30,2,75.9029996395111,366.341999530793
"83",30,3,79.8829998970032,394.011999607086
"84",30,4,47.048999786377,463.302999973297
"85",31,1,66.6900000572204,369.151999950409
"86",31,2,41.5350003242492,259.664000272751
"87",31,3,66.797000169754,503.769999980927
"88",31,4,57.4219999313355,522.452999830246
"89",32,1,42.6829998493195,294.130000114441
"90",32,2,73.5369999408722,359.707000255585
"91",32,3,49.2409996986389,296.290000200272
"92",32,4,89.8929998874665,330.953999757766
"93",33,1,105.871999979019,339.946000099182
"94",33,2,90.65900015831,366.227999925613
"95",33,3,81.2139999866486,301.214999914169
"96",33,4,55.9439997673034,232.729000329971
"97",34,1,163.276000022888,249.484000444412
"98",34,2,101.24799990654,393.813999891282
"99",34,3,128.198000192642,397.542000055313
"100",34,4,241.753999948502,122.047000169754
"101",35,1,26.3500003814697,204.582000017166
"102",35,2,42.3880000114441,188.966000080109
"103",35,3,58.0360000133514,252.878999948501
"104",35,4,14.6970002651214,426.526000022888
"105",36,1,78.9609999656677,266.836000204086
"106",36,2,44.5890002250671,249.886999845505
"107",36,3,61.4939999580383,247.27599978447
"108",36,4,73.5700001716614,374.381999731064
"109",37,1,141.993999958038,588.195999860763
"110",37,2,76.6349997520446,477.141000032426
"111",37,3,60.6189997196198,850.457000017165
"112",37,4,64.6379997730256,400.345000267028
"113",38,1,48.4360001087188,446.047999858857
"114",38,2,71.9389998912811,462.130000114441
"115",38,3,98.4140000343322,730.12199997902
"116",38,4,73.5360000133515,641.371000051498
"117",39,1,31.4880001544953,258.472999811172
"118",39,2,21.9560000896454,336.004000186921
"119",39,3,60.8030002117157,348.037999868393
"120",39,4,35.739000082016,481.78700017929
"121",40,1,62.1779999732971,284.859000205994
"122",40,2,15.9959995746612,358.663999795914
"123",40,3,39.66100025177,277.328000307083
"124",40,4,44.0459997653961,257.550999879837
"125",41,1,86.8890001773834,346.545000314712
"126",41,2,86.7040002346039,276.811000108719
