"participantno","scenario","startpoint","lg_1","lg_2","lg_3","lg_4","total_length","duration_1","duration_2","duration_3","duration_4","total_duration","total_speed","num_stops_1","num_stops_2","num_stops_3","num_stops_4","total_walkingstops","stops_duration_1","stops_duration_2","stops_duration_3","stops_duration_4","total_walkingstop_duration"
42,2,"e",239.440762029725,79.753919879479,141.712020055871,116.600559893838,577.507261858913,97,48,69,60,274,2.10769073671136,3,2,1,5,11,0.032,0.097,0.001,1.018,1.148
42,3,"s",141.023458654926,113.623575906371,67.52359052356,163.19372802565,485.364353110507,60,69,36,81,246,1.97302582565247,2,6,6,3,17,9.449,15.286,6.38,13.831,44.946
42,4,"w",171.589346472378,284.081363935801,196.583192955914,161.834971524953,814.088874889047,90,123,110,66,389,2.09277345729832,4,7,7,5,23,5.393,7.592,8.298,3.088,24.371
43,1,"w",122.850283962408,612.453753779059,36.2202442662766,102.191660523632,873.715942531376,58,265,26,82,431,2.0271831613257,3,6,2,4,15,10.187,1.521,0.002,21.032,32.742
43,2,"n",215.092716004548,90.4780458592395,184.977210431931,186.809914139823,677.357886435541,103,50,82,96,331,2.04639844844574,5,1,6,2,14,25.831,16.937,0.005,2.049,44.822
43,3,"e",212.070378535622,220.656719471062,60.3877915271506,107.576812127138,600.691701660973,117,201,57,76,451,1.33191064669839,10,18,5,8,41,0.014,8.014,1.43,22.036,31.494
43,4,"s",247.333544074747,169.242790912049,35.8975172085056,97.9477059074028,550.421558102704,136,88,35,60,319,1.72545942978904,4,2,5,4,15,15.829,0.002,0.008,0.009,15.848
44,1,"s",76.9058081522697,252.920691305968,41.6136349336866,56.5561144765692,427.996248868494,78,131,36,63,308,1.38959821061199,7,8,2,3,20,39.641,29.354,16.227,35.598,120.82
44,2,"w",246.563571284126,168.766643634147,123.86772800438,157.794999171835,696.992942094488,108,83,72,96,359,1.94148451836905,5,8,3,3,19,20.467,0.214,5.472,21.561,47.714
44,3,"n",145.759886248204,183.118815838932,205.481592061524,170.729381893471,705.089676042131,98,112,107,82,399,1.76714204521837,6,9,6,8,29,25.657,29.559,15.414,13.211,83.841
44,4,"e",143.319807301863,131.252703051137,80.5644717413932,137.216264441249,492.353246535643,111,89,68,108,376,1.30945012376501,7,7,6,10,30,0.018,0.064,4.94,7.711,12.733
45,1,"n",66.6822411011991,167.74471372289,214.572422619378,258.815702481966,707.815079925434,43,71,90,110,314,2.25418815262877,3,6,6,5,20,15.959,9.1,11.608,9.162,45.829
45,2,"e",539.931972529061,95.3208273596514,80.6244910801427,129.750223448966,845.627514417822,217,43,32,49,341,2.47984608333672,6,4,4,5,19,8.677,2.452,1.954,2.885,15.968
45,3,"s",153.795957429832,123.342809369488,548.83181260507,93.4246509599359,919.395230364326,69,65,232,48,414,2.22076142600079,7,8,15,6,36,2.789,10.565,12.038,4.754,30.146
45,4,"w",165.035485714779,327.024367498828,172.592616175805,165.443055083456,830.095524472868,72,134,78,65,349,2.37849720479332,6,4,5,4,19,1.987,0.008,5.775,0.176,7.946
46,1,"s",76.5292284676056,189.122475040505,180.875056467298,79.4179679884105,525.944727963819,38,92,82,35,247,2.12933088244461,2,7,4,2,15,8.516,16.678,12.524,4.148,41.866
46,2,"n",192.57285615714,74.0108639356428,203.268615656995,153.323182064562,623.17551781434,88,46,150,70,354,1.76038281868458,5,2,5,3,15,17.054,18.361,44.253,7.515,87.183
46,3,"e",195.995922784653,161.905627606641,58.3009516835696,113.310089665594,529.512591740458,100,87,48,59,294,1.80106323721244,10,4,3,6,23,0.019,0.008,1.584,6.031,7.642
46,4,"w",248.647143781445,471.157950109173,206.788048515778,169.182900512036,1095.77604291843,176,242,92,79,589,1.86040075198375,4,11,4,2,21,6.691,9.548,0.162,0.001,16.402
47,1,"w",115.214663963412,133.428378987436,260.168411383694,150.892801543374,659.704255877916,52,64,110,61,287,2.29862110061992,3,2,6,4,15,11.293,13.388,3.974,9.146,37.801
47,2,"s",264.861085738264,185.340598490351,68.1038488389917,98.6512646611102,616.956797728718,104,78,38,46,266,2.31938645762676,4,4,2,3,13,8.069,7.391,10.831,8.188,34.479
47,3,"n",147.227731949817,209.120673742329,202.45987941829,45.0413800836543,603.849665194091,103,108,112,25,348,1.73520018733934,13,10,8,3,34,34.24,23.517,19.71,6.037,83.504
47,4,"e",129.198438476248,130.462173704643,94.1035949665591,137.148678831684,490.912885979133,66,55,51,61,233,2.10692225742117,5,6,2,7,20,0.01,0.878,7.631,1.305,9.824
48,1,"e",213.371806132566,312.153841528479,88.668623496984,158.866567096799,773.060838254828,86,140,37,74,337,2.29394907494014,2,1,5,2,10,1.534,31.435,1.557,20.37,54.896
48,2,"w",259.388610793535,525.704490360463,167.157631698755,172.962311088446,1125.2130439412,151,203,73,89,516,2.18064543399457,1,13,2,4,20,31.356,4.041,14.837,15.306,65.54
48,3,"s",156.228969924278,112.964535601101,68.4288065776899,278.243454916157,615.865767019226,80,76,29,135,320,1.92458052193508,8,7,2,4,21,12.676,29.85,4.332,22.039,68.897
