"","id","scenario_id","action_type_re","t_id","p_desc","task_time","count_task_phases","task_phase_time_sum","phase_perc"
"1","10","1","task_accepted",1,"planning",144.861000061035,1,8.75100016593933,0.0604096351830529
"2","10","1","set_navigation",1,"navigating",144.861000061035,1,136.109999895096,0.939590364816947
"3","10","1","task_accepted",2,"planning",67.1989998817444,1,5.95499992370605,0.0886173891603381
"4","10","1","set_navigation",2,"navigating",67.1989998817444,1,61.2439999580383,0.911382610839662
"5","10","1","task_accepted",3,"planning",23.6610000133514,1,3.35599994659424,0.141836775482884
"6","10","1","set_navigation",3,"navigating",23.6610000133514,1,20.3050000667572,0.858163224517116
"7","10","1","task_accepted",4,"planning",39.566999912262,1,35.7699999809265,0.904036193298579
"8","10","1","set_navigation",4,"navigating",39.566999912262,1,3.79699993133545,0.095963806701421
"9","10","2","task_accepted",1,"planning",114.378000020981,1,9.07299995422363,0.0793246948937675
"10","10","2","set_navigation",1,"navigating",114.378000020981,1,105.305000066757,0.920675305106233
"11","10","2","task_accepted",2,"planning",69.1899998188019,1,4.40599989891052,0.0636797212089777
"12","10","2","set_navigation",2,"navigating",69.1899998188019,1,64.7839999198914,0.936320278791022
"13","10","2","task_accepted",3,"planning",60.8860001564026,1,4.51900005340576,0.0742206753900315
"14","10","2","set_navigation",3,"navigating",60.8860001564026,1,56.3670001029968,0.925779324609968
"15","10","2","task_accepted",4,"planning",154.979999780655,1,16.9279999732971,0.109226997014167
"16","10","2","set_navigation",4,"navigating",154.979999780655,1,138.051999807358,0.890773002985834
"17","10","3","task_accepted",1,"planning",78.8830003738403,1,8.66500020027161,0.109846229976125
"18","10","3","set_navigation",1,"navigating",78.8830003738403,1,70.2180001735687,0.890153770023875
"19","10","3","task_accepted",2,"planning",205.178999900818,1,42.271999835968,0.206024982363702
"20","10","3","set_navigation",2,"navigating",205.178999900818,1,162.90700006485,0.793975017636298
"21","10","3","task_accepted",3,"planning",62.3770000934601,1,8.72900009155273,0.139939401998717
"22","10","3","set_navigation",3,"navigating",62.3770000934601,1,53.6480000019073,0.860060598001283
"23","10","3","task_accepted",4,"planning",254.125,1,5.35800004005432,0.0210841123071493
"24","10","3","set_navigation",4,"navigating",254.125,1,248.766999959946,0.978915887692851
"25","10","4","task_accepted",1,"planning",86.1930000782013,1,12.529000043869,0.145359832382
"26","10","4","set_navigation",1,"navigating",86.1930000782013,1,73.6640000343323,0.854640167618
"27","10","4","task_accepted",2,"planning",222.240000009537,1,88.8959999084473,0.399999999570881
"28","10","4","set_navigation",2,"navigating",222.240000009537,1,133.344000101089,0.600000000429119
"29","10","4","task_accepted",3,"planning",119.136000156403,1,4.98800015449524,0.0418681183516901
"30","10","4","set_navigation",3,"navigating",119.136000156403,1,114.148000001907,0.95813188164831
"31","10","4","task_accepted",4,"planning",105.309000253677,1,8.40800023078918,0.0798412311439219
"32","10","4","set_navigation",4,"navigating",105.309000253677,1,96.9010000228882,0.920158768856078
"33","12","1","task_accepted",1,"planning",57.1260001659393,1,14.5140001773834,0.254069953002542
"34","12","1","set_navigation",1,"navigating",57.1260001659393,1,42.6119999885559,0.745930046997458
"35","12","1","task_accepted",2,"planning",108.758999824524,1,16.3479998111725,0.150313995508868
"36","12","1","set_navigation",2,"navigating",108.758999824524,1,92.4110000133514,0.849686004491132
"37","12","1","task_accepted",3,"planning",110.738999843597,1,17.7649998664856,0.160422253149984
"38","12","1","set_navigation",3,"navigating",110.738999843597,1,92.9739999771118,0.839577746850016
