"id","scenario_id","planning_time","navigating_time"
8,1,121.194999933243,461.563000440597
8,2,44.0690000057221,359.604999542236
8,3,58.0280001163482,248.27699971199
8,4,72.9010000228882,562.428999662399
9,1,152.907000303268,215.369999885559
9,2,74.3660001754761,224.499000310898
9,3,68.6840000152588,369.073000192642
9,4,57.7260003089906,740.883000135422
10,1,53.8320000171661,221.455999851227
10,2,34.925999879837,364.507999897003
10,3,65.0240001678467,535.540000200272
10,4,114.821000337601,418.057000160216
12,1,64.470999956131,318.207000017166
12,2,56.4909996986389,370.56200003624
12,3,76.8950002193452,536.82000017166
12,4,45.7820003032685,389.022999763489
13,1,34.6729998588562,220.192000150681
13,2,22.5539999008179,223.097999811172
13,3,39.1720004081726,223.856999874115
13,4,22.1729996204376,454.536999702454
15,1,21.2460000514984,294.605999708175
15,2,110.656999588013,275.16000008583
15,3,77.8630001544952,534.826000213623
15,4,59.1449999809265,859.552999973298
16,1,62.6059999465943,271.461999893189
16,2,36.5560002326965,459.168000221253
16,3,47.034999847412,303.520000219345
16,4,59.2679998874664,651.236999511718
17,1,64.753999710083,346.950000047683
17,2,59.9599997997284,366.556999921799
17,3,84.9259998798369,544.609999895096
17,4,50.6789999008178,352.212000131607
18,1,32.188000202179,274.177000045776
18,2,50.3180000782014,406.942999839782
18,3,52.1409997940063,346.730999708176
18,4,18.0019998550415,223.784999847412
19,1,34.8179998397827,268.883000135422
19,2,17.2769999504089,217.236999988556
19,3,74.7859997749327,290.252000331878
19,4,21.4639999866486,284.371000051499
20,1,72.1159996986388,276.723999738693
20,2,160.762000083923,119.61699962616
20,3,123.569000005722,86.4700000286102
20,4,46.7720000743866,356.627999782563
21,1,39.7119998931885,321.75
21,2,17.345999956131,525.309000015258
21,3,27.8810002803803,438.165999889374
21,4,11.7379996776581,249.068999528885
22,1,89.5349998474121,400.402000427246
22,2,60.8210000991822,292.175000190735
22,3,72.6510002613068,418.556000232696
22,4,52.7550001144409,278.223000049591
23,1,20.5649998188019,222.182999610901
23,2,28.4190003871918,354.549999952317
23,3,47.0080001354218,415.46599984169
23,4,28.8940000534058,548.696000099183
24,1,44.5970001220703,329.552999973298
24,2,31.4509997367859,342.269999980927
24,3,36.444000005722,302.043000221252
24,4,68.2870001792908,403.204000234604
25,1,40.7530000209808,235.112999916077
25,2,28.3199999332428,241.782000303268
25,3,26.172000169754,360.129999876022
25,4,21.9849998950958,447.604999780655
26,1,44.7720000743865,312.368999958039
26,2,55.5170001983643,356.587000131607
26,3,42.072000026703,484.862000226974
26,4,76.5089998245238,399.697000026703
27,1,126.610000133514,184.738999605179
27,2,17.4799997806549,250.441999912262
27,3,52.0939998626709,202.095999717712
27,4,18.1639997959137,217.541999816895
28,1,23.1119999885559,220.731000185013
28,2,29.0140001773834,310.056000232697
28,3,54.1760001182556,246.197000026703
28,4,45.4919998645783,223.124999761581
29,1,103.691999673843,360.470000028611
29,2,69.8049998283386,400.013999938965
29,3,66.2729997634889,246.969000101089
29,4,26.191999912262,384.993000507355
30,1,56.4100003242493,261.491000413895
30,2,75.9029996395112,366.341999530793
30,3,79.8829998970031,394.011999607086
30,4,47.048999786377,463.302999973297
31,1,41.4539999961853,394.31200003624
31,2,41.5350003242492,259.664000272751
31,3,66.797000169754,503.769999980927
31,4,57.4219999313355,522.452999830246
32,1,42.6829998493195,294.130000114441
32,2,73.5369999408722,359.707000255585
32,3,49.2409996986389,296.290000200272
32,4,89.8929998874665,330.953999757766
33,1,105.871999979019,339.946000099182
33,2,90.65900015831,366.227999925613
33,3,81.2139999866486,301.214999914169
33,4,55.9439997673034,232.729000329971
34,1,163.276000022888,249.484000444412
34,2,101.24799990654,393.813999891282
34,3,128.198000192642,397.542000055313
34,4,241.753999948502,122.047000169754
